
GITV全网通,#genre#
安徽卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_ANHUI-MD/G_ANHUI-MD.m3u8
北京卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_BEIJING-HD-265-8M/G_BEIJING-HD-265-
北京卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_BEIJING-MD/G_BEIJING-MD.m3u8
东南卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_DONGNAN-HQ/G_DONGNAN-HQ.m3u8
广东卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_GUANGDONG-HD-265-8M/G_GUANGDONG-HD-
广东卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_GUANGDONG-MD/G_GUANGDONG-MD.m3u8
广西卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_GUANGXI-HQ/G_GUANGXI-HQ.m3u8
贵州卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_GUIZHOU-CQ/G_GUIZHOU-CQ.m3u8
海南卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HAINAN-HQ/G_HAINAN-HQ.m3u8
河北卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HEBEI-CQ/G_HEBEI-CQ.m3u8
河南卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HENAN-CQ/G_HENAN-CQ.m3u8
黑龙江卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HEILONGJIANG-HD-265-
黑龙江卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HEILONGJIANG-MD/G_HEILONGJIANG-
湖北卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HUBEI-HD-265-8M/G_HUBEI-HD-265-8M.m3u8
湖北卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HUBEI-MD/G_HUBEI-MD.m3u8
湖南卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HUNAN-CQ/G_HUNAN-CQ.m3u8
湖南卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HUNAN-HD-265-8M/G_HUNAN-HD-265-
湖南卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_HUNAN-MD/G_HUNAN-MD.m3u8
吉林卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_JILIN-CQ/G_JILIN-CQ.m3u8
江苏卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_JIANGSU-CQ/G_JIANGSU-CQ.m3u8
江苏卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_JIANGSU-HD-265-8M/G_JIANGSU-HD-265-
江苏卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_JIANGSU-MD/G_JIANGSU-MD.m3u8
江西卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_JIANGXI-CQ/G_JIANGXI-CQ.m3u8
辽宁卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_LIAONING-HD-265-8M/G_LIAONING-HD-265
