

央视高清频道,#genre#
浙江卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000016/index.m3u8
东方卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000022/index.m3u8
江苏卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000018/index.m3u8
北京卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000019/index.m3u8
深圳卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000024/index.m3u8
东南卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000028/index.m3u8
广东卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000025/index.m3u8
黑龙江卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000027/index.m3u8
海看电竞世界,http://150.138.8.143:80/00/SNM/CHANNEL00000408/index.m3u8
海看生活,http://150.138.8.143:80/00/SNM/CHANNEL00000202/index.m3u8
海看教育,http://150.138.8.143:80/00/SNM/CHANNEL00000204/index.m3u8
海看演艺,http://150.138.8.143:80/00/SNM/CHANNEL00000400/index.m3u8
海看健康,http://150.138.8.143:80/00/SNM/CHANNEL00000401/index.m3u8
海看少儿,http://150.138.8.143:80/00/SNM/CHANNEL00000402/index.m3u8
海看剧场,http://150.138.8.143:80/00/SNM/CHANNEL00000403/index.m3u8
海看大片高清,http://150.138.8.143:80/00/SNM/CHANNEL00000407/index.m3u8
山东卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000301/index.m3u8
山东齐鲁高清,http://150.138.8.143:80/00/SNM/CHANNEL00000313/index.m3u8
山东影视,http://150.138.8.143:80/00/SNM/CHANNEL00000056/index.m3u8
山东生活,http://150.138.8.143:80/00/SNM/CHANNEL00000055/index.m3u8
山东综艺,http://150.138.8.143:80/00/SNM/CHANNEL00000054/index.m3u8
山东体育高清,http://150.138.8.143:80/00/SNM/CHANNEL00000315/index.m3u8
山东公共高清,http://150.138.8.143:80/00/SNM/CHANNEL00000314/index.m3u8
山东农科,http://150.138.8.143:80/00/SNM/CHANNEL00000058/index.m3u8
山东少儿,http://150.138.8.143:80/00/SNM/CHANNEL00000059/index.m3u8
山东国际,http://150.138.8.143:80/00/SNM/CHANNEL00000060/index.m3u8
居家购物,http://150.138.8.143:80/00/SNM/CHANNEL00000700/index.m3u8
山东教育,http://150.138.8.143:80/00/SNM/CHANNEL10000062/index.m3u8
